Spectrum	Date	Time	CH4 (PF) 191c	CH4 (PF) 191c average	CH4 (PF) 191c stdev	CH4 high 191C	CH4 high 191C average	CH4 high 191C stdev	CO ppm 191C (1of2)	CO ppm 191C (1of2) average	CO ppm 191C (1of2) stdev	CO2 ppm 191c	CO2 ppm 191c average	CO2 ppm 191c stdev	CO2% 191c	CO2% 191c average	CO2% 191c stdev	Formaldehyde 191c	Formaldehyde 191c average	Formaldehyde 191c stdev	Formic acid 191C	Formic acid 191C average	Formic acid 191C stdev	H2O ppm 191c	H2O ppm 191c average	H2O ppm 191c stdev	H2O% 191C	H2O% 191C average	H2O% 191C stdev	HCL 191C	HCL 191C average	HCL 191C stdev	Methyl chloride 191c	Methyl chloride 191c average	Methyl chloride 191c stdev	Toluene  191c	Toluene  191c average	Toluene  191c stdev	Temp (C)	Temp (C) average	Temp (C) stdev	Pressure (Atm)	Pressure (Atm) average	Pressure (Atm) stdev	CH4 autorange	CH4 autorange average	CH4 autorange stdev	CO2 autorange	CO2 autorange average	CO2 autorange stdev	Igram DC	Igram DC average	Igram DC stdev	Igram PP	Igram PP average	Igram PP stdev	phase Angle	phase Angle average	phase Angle stdev	laser PP	laser PP average	laser PP stdev	laser DC	laser DC average	laser DC stdev	Bad Scan counter	Bad Scan counter average	Bad Scan counter stdev	Centerburst Location	Centerburst Location average	Centerburst Location stdev	Linearizer Check	Linearizer Check average	Linearizer Check stdev	SNR 2500	SNR 2500 average	SNR 2500 stdev	sBeam @ 2500	sBeam @ 2500 average	sBeam @ 2500 stdev	
FTIR_034296.LAB	10/1/2024	13:58:50.311	21.936597	21.798716	0.876460	16.825524	29.147924	6.565302	-0.073835	-0.004085	0.089913	4.161070	3.092521	0.930643	0.010562	0.022690	0.008744	-0.278669	-0.190934	0.066409	0.019189	-0.086195	0.062703	1414.019457	1203.740601	208.819580	1.320026	1.443825	0.098706	0.791438	0.745214	0.071700	4.393560	4.714334	0.928862	3.607738	2.723633	0.438365	191.003540	191.071457	0.023979	0.996816	0.996816	0.000000	21.936597	21.798716	0.876460	4.161070	3.092521	0.930643	3.722113	3.694401	0.022699	4.227008	4.216448	0.008576	85.790871	86.138504	0.407084	4.890146	4.930305	0.078136	-3.345055	-3.342637	0.002419	0.000000	0.000000	0.000000	579.735596	579.735229	0.001237	0.002347	0.002367	0.000050	1602.215088	1657.122070	139.613632	0.723838	0.723983	0.000270
FTIR_034297.LAB	10/1/2024	13:59:03.149	21.164619	21.908997	0.681280	30.174486	29.220669	6.573009	-0.215365	-0.032680	0.107314	2.439909	2.943021	0.899855	0.013126	0.021012	0.008815	-0.117673	-0.181275	0.069588	-0.121153	-0.083643	0.060446	1430.550972	1267.729004	160.665009	1.323888	1.415264	0.085937	0.759170	0.729734	0.041615	4.997773	4.532477	0.586540	2.919260	2.708971	0.427975	191.003540	191.063828	0.031862	0.996816	0.996816	0.000000	21.164619	21.908997	0.681280	2.439909	2.943021	0.899855	3.725778	3.701260	0.020455	4.228591	4.219078	0.007745	85.870789	86.146500	0.400228	4.952463	4.944500	0.065891	-3.342857	-3.342637	0.002419	0.000000	0.000000	0.000000	579.737000	579.735596	0.001213	0.002324	0.002368	0.000050	1471.923950	1612.205811	115.409576	0.723982	0.723933	0.000206
FTIR_034298.LAB	10/1/2024	13:59:15.976	20.865394	21.856979	0.742768	33.404808	29.071362	6.445442	-0.216171	-0.062351	0.113379	1.639911	2.737866	0.943086	0.023580	0.020971	0.008801	-0.050234	-0.161980	0.076882	-0.128882	-0.085122	0.061447	1511.148051	1320.174072	143.406235	1.279077	1.387634	0.080102	0.689724	0.728242	0.042863	4.944444	4.598263	0.592756	3.003711	2.791302	0.392734	191.003540	191.056198	0.036414	0.996816	0.996816	0.000000	20.865394	21.856979	0.742768	1.639911	2.737866	0.943086	3.730077	3.707586	0.018287	4.230361	4.221509	0.006980	86.550079	86.218430	0.401820	4.869373	4.937922	0.070078	-3.347253	-3.342857	0.002741	0.000000	0.000000	0.000000	579.738464	579.736023	0.001354	0.002294	0.002363	0.000055	2087.128906	1639.376221	181.581406	0.723930	0.723905	0.000182
FTIR_034299.LAB	10/1/2024	13:59:28.810	23.988779	22.036787	1.004171	28.368929	29.396540	6.304261	-0.068523	-0.060018	0.112944	2.109279	2.493221	0.706845	0.006941	0.018020	0.007939	0.071856	-0.132204	0.102699	0.012659	-0.072754	0.067776	2012.163394	1413.912354	239.409149	1.255746	1.360995	0.074502	0.765606	0.729562	0.043881	6.529259	4.841506	0.819748	0.872760	2.646396	0.717911	190.957443	191.043961	0.046704	0.996816	0.996816	0.000000	23.988779	22.036787	1.004171	2.109279	2.493221	0.706845	3.735039	3.713517	0.016320	4.232054	4.223755	0.006300	86.550079	86.286354	0.393861	4.917842	4.929267	0.066194	-3.345055	-3.343297	0.002702	0.000000	0.000000	0.000000	579.738464	579.736450	0.001369	0.002348	0.002362	0.000055	1892.379395	1672.243896	195.569656	0.723731	0.723874	0.000182
FTIR_034300.LAB	10/1/2024	13:59:41.647	26.047923	22.352198	1.613660	39.060352	29.880657	6.875731	0.083374	-0.061566	0.110606	2.027345	2.420196	0.714181	0.023090	0.018638	0.008082	0.275098	-0.084383	0.160874	-0.118063	-0.079421	0.068714	2057.827715	1505.343750	293.213074	1.192572	1.330641	0.075165	0.745915	0.728463	0.043253	5.682103	4.965737	0.845825	1.663214	2.512261	0.767174	190.927246	191.028702	0.057387	0.996816	0.996816	0.000000	26.047923	22.352198	1.613660	2.027345	2.420196	0.714181	3.740148	3.719088	0.014720	4.234060	4.225893	0.005726	85.750908	86.206436	0.414919	4.897070	4.918189	0.060615	-3.345055	-3.343736	0.002580	0.000000	0.000000	0.000000	579.738403	579.736877	0.001249	0.002297	0.002356	0.000059	1642.405640	1671.731201	195.648376	0.724057	0.723899	0.000189
FTIR_034301.LAB	10/1/2024	13:59:54.473	25.908937	22.738907	1.957712	34.267963	29.255468	6.033500	-0.044004	-0.076469	0.094538	2.870387	2.457097	0.728236	0.015757	0.016947	0.006418	0.196614	-0.044512	0.177052	-0.186477	-0.090511	0.076530	2105.209645	1595.548096	326.755890	1.170762	1.302575	0.077420	0.798233	0.742839	0.039671	5.458853	4.967738	0.847091	1.417417	2.412672	0.842398	190.927246	191.013443	0.062353	0.996816	0.996816	0.000000	25.908937	22.738907	1.957712	2.870387	2.457097	0.728236	3.744429	3.724166	0.013691	4.235483	4.227845	0.005273	86.590042	86.202431	0.410556	4.955925	4.920266	0.061609	-3.347253	-3.343956	0.002790	0.000000	0.000000	0.000000	579.736511	579.736938	0.001229	0.002471	0.002373	0.000066	1499.951538	1677.220703	189.246979	0.724376	0.723937	0.000241
FTIR_034302.LAB	10/1/2024	14:00:07.305	24.007422	22.929295	1.981489	21.119716	28.725515	6.523170	0.127299	-0.053347	0.113460	2.747060	2.460510	0.729647	0.019926	0.016460	0.005922	0.208091	-0.001504	0.181335	-0.132159	-0.104975	0.068105	2123.349833	1681.695679	342.206512	1.163556	1.279047	0.080602	0.812369	0.749616	0.045383	6.046971	5.195404	0.793774	1.800134	2.290823	0.833084	190.927246	190.998184	0.062970	0.996816	0.996816	0.000000	24.007422	22.929295	1.981489	2.747060	2.460510	0.729647	3.748035	3.728811	0.013042	4.236680	4.229582	0.005003	86.550079	86.194443	0.401998	5.039014	4.917842	0.055537	-3.345055	-3.344395	0.002548	0.000000	0.000000	0.000000	579.738281	579.737061	0.001300	0.002392	0.002374	0.000066	1356.154907	1643.356079	214.381790	0.723733	0.723949	0.000225
FTIR_034303.LAB	10/1/2024	14:00:20.143	24.472118	23.315662	1.851063	43.109932	29.869228	7.945019	0.139879	-0.041860	0.127252	2.850644	2.535758	0.726923	0.017131	0.017078	0.005597	0.026298	0.014457	0.175371	-0.071053	-0.095459	0.065183	2120.615802	1760.943970	342.991516	1.168167	1.256828	0.077055	0.833772	0.761279	0.050776	6.027974	5.417593	0.661643	1.128856	2.152708	0.904165	190.927246	190.982925	0.059372	0.996816	0.996816	0.000000	24.472118	23.315662	1.851063	2.850644	2.535758	0.726923	3.750443	3.732971	0.012593	4.237821	4.231184	0.004795	85.790871	86.190453	0.406190	4.980159	4.929267	0.055418	-3.347253	-3.344835	0.002631	0.000000	0.000000	0.000000	579.738281	579.737183	0.001354	0.002343	0.002372	0.000067	1862.605713	1666.063477	225.213196	0.723544	0.723932	0.000250
FTIR_034304.LAB	10/1/2024	14:00:33.090	24.569816	23.511593	1.871709	36.160797	30.834492	8.076578	-0.112113	-0.049926	0.129062	2.115967	2.474338	0.734579	0.008058	0.016092	0.006262	0.059295	0.025302	0.174350	-0.123283	-0.097299	0.065736	2150.143303	1833.258179	340.987671	1.168043	1.238765	0.074253	0.915092	0.785175	0.061376	5.473684	5.433651	0.660774	1.510496	2.040738	0.907788	190.927246	190.967682	0.050670	0.996816	0.996816	0.000000	24.569816	23.511593	1.871709	2.115967	2.474338	0.734579	3.752847	3.736781	0.012225	4.238711	4.232642	0.004627	86.470161	86.174469	0.389786	4.924767	4.928228	0.055393	-3.347253	-3.345714	0.001483	0.000000	0.000000	0.000000	579.740601	579.737854	0.001480	0.002434	0.002372	0.000067	1817.963501	1675.651123	229.856186	0.723656	0.723910	0.000264
FTIR_034305.LAB	10/1/2024	14:00:45.828	23.937456	23.689907	1.812024	43.917502	32.640999	8.824140	-0.130529	-0.050999	0.129750	4.282262	2.724383	0.883190	0.024608	0.016278	0.006505	0.003146	0.039382	0.165172	-0.091484	-0.094071	0.065081	2170.948729	1909.597656	319.893494	1.190521	1.223236	0.065046	0.850365	0.796168	0.062309	6.264170	5.581879	0.664568	1.911727	1.983531	0.894696	190.987106	190.959137	0.036187	0.996816	0.996816	0.000000	23.937456	23.689907	1.812024	4.282262	2.724383	0.883190	3.755122	3.740403	0.011694	4.239438	4.234021	0.004358	86.470161	86.238403	0.379453	4.897070	4.932383	0.050693	-3.349451	-3.346154	0.001868	0.000000	0.000000	0.000000	579.738159	579.738037	0.001357	0.002318	0.002357	0.000058	1608.190674	1684.092041	225.161514	0.723166	0.723801	0.000324
FTIR_034306.LAB	10/1/2024	14:00:58.642	23.553406	23.851585	1.707305	37.096992	34.668148	6.907503	0.054710	-0.038144	0.133549	3.761792	2.684455	0.817613	0.016199	0.016842	0.006191	0.057858	0.073035	0.121744	-0.082833	-0.104273	0.052044	2206.042865	1988.800049	278.993927	1.146162	1.205850	0.059281	0.863123	0.803337	0.065734	6.209312	5.763454	0.540239	1.319133	1.754671	0.705843	191.016251	190.960419	0.038092	0.996816	0.996816	0.000000	23.553406	23.851585	1.707305	3.761792	2.684455	0.817613	3.756889	3.743881	0.010786	4.240140	4.235333	0.003971	85.710953	86.230408	0.390604	4.949001	4.938269	0.048618	-3.349451	-3.346593	0.002085	0.000000	0.000000	0.000000	579.738708	579.738281	0.001077	0.002243	0.002346	0.000069	1278.407593	1651.711182	258.987396	0.723607	0.723778	0.000330
FTIR_034307.LAB	10/1/2024	14:01:11.523	24.682947	24.203419	1.432462	25.598279	34.210526	7.374112	-0.115515	-0.028159	0.122065	5.715040	3.011968	1.250263	0.033901	0.018919	0.008021	0.113417	0.096144	0.101826	-0.106033	-0.102761	0.051718	2222.107227	2067.955566	205.662247	1.165206	1.189981	0.043242	0.872524	0.814672	0.067032	6.228137	5.886491	0.483622	1.495397	1.612284	0.576594	191.016251	190.961670	0.039862	0.996816	0.996816	0.000000	24.682947	24.203419	1.432462	5.715040	3.011968	1.250263	3.758382	3.747141	0.009564	4.241161	4.236590	0.003569	86.590042	86.302330	0.383176	4.900532	4.933076	0.049695	-3.347253	-3.347033	0.001622	0.000000	0.000000	0.000000	579.737976	579.738403	0.000988	0.002346	0.002349	0.000068	1346.391113	1639.157837	271.414276	0.723627	0.723743	0.000324
FTIR_034308.LAB	10/1/2024	14:01:24.299	24.423265	24.559208	0.823785	32.225758	34.092625	7.397814	0.129208	0.006378	0.111348	2.927681	3.140746	1.156006	0.008108	0.017372	0.008500	0.067502	0.107918	0.089022	-0.049215	-0.094794	0.053357	2257.890762	2142.629883	75.241005	1.112088	1.173282	0.036772	0.897885	0.835488	0.055196	6.440125	6.036059	0.380111	1.166974	1.428611	0.319204	191.016251	190.962952	0.041514	0.996816	0.996816	0.000000	24.423265	24.559208	0.823785	2.927681	3.140746	1.156006	3.760368	3.750170	0.008268	4.241959	4.237751	0.003183	85.750908	86.222420	0.408282	4.966311	4.942769	0.045134	-3.347253	-3.347033	0.001622	0.000000	0.000000	0.000000	579.737915	579.738342	0.000998	0.002305	0.002350	0.000067	1521.960815	1582.640991	222.137833	0.723720	0.723722	0.000318
FTIR_034309.LAB	10/1/2024	14:01:37.137	24.498449	24.610174	0.799995	38.499389	35.105667	7.218381	-0.107576	0.002473	0.114896	4.680154	3.397833	1.186594	0.019203	0.018598	0.007672	0.029135	0.103645	0.091923	-0.213062	-0.117366	0.050518	2310.320480	2172.445557	76.854668	1.107507	1.158458	0.028864	0.817118	0.840639	0.050119	5.064627	5.889596	0.445506	1.936912	1.535026	0.289287	191.016251	190.968826	0.044690	0.996816	0.996816	0.000000	24.498449	24.610174	0.799995	4.680154	3.397833	1.186594	3.762883	3.752954	0.007230	4.242953	4.238841	0.002866	85.750908	86.142502	0.415176	4.903994	4.941384	0.046184	-3.349451	-3.347472	0.001622	0.000000	0.000000	0.000000	579.740784	579.738525	0.001267	0.002353	0.002350	0.000067	1529.396973	1546.342773	193.743362	0.723596	0.723708	0.000320
FTIR_034310.LAB	10/1/2024	14:01:49.966	23.731438	24.378525	0.660671	17.197786	32.919411	8.982703	-0.160372	-0.021901	0.121491	3.270381	3.522137	1.088095	0.022747	0.018564	0.007650	0.122041	0.088340	0.070433	-0.079829	-0.113543	0.051888	2331.608497	2199.823730	80.180115	1.085883	1.147790	0.034097	0.973544	0.863402	0.053869	5.377719	5.859157	0.470931	1.596222	1.528327	0.286753	191.016251	190.977737	0.044349	0.996816	0.996816	0.000000	23.731438	24.378525	0.660671	3.270381	3.522137	1.088095	3.765133	3.755453	0.006602	4.243895	4.239824	0.002727	86.550079	86.222427	0.408282	4.907456	4.942423	0.045182	-3.349451	-3.347912	0.001483	0.000000	0.000000	0.000000	579.739807	579.738708	0.001323	0.002349	0.002355	0.000065	1642.411133	1546.343262	193.743668	0.723470	0.723649	0.000302
FTIR_034311.LAB	10/1/2024	14:02:02.796	24.376993	24.225330	0.387518	30.683051	32.560921	8.994432	-0.054413	-0.022942	0.121746	4.175971	3.652695	1.079497	0.014632	0.018451	0.007704	-0.042657	0.064413	0.070206	0.022682	-0.092627	0.060639	2340.109594	2223.313721	83.712585	1.133549	1.144068	0.033333	0.981252	0.881704	0.060008	4.661047	5.779376	0.596988	2.087103	1.595296	0.332520	191.016251	190.986633	0.041957	0.996816	0.996816	0.000000	24.376993	24.225330	0.387518	4.175971	3.652695	1.079497	3.767027	3.757713	0.006268	4.244838	4.240760	0.002677	86.550079	86.218422	0.404461	5.094407	4.956271	0.066141	-3.347253	-3.347912	0.001483	0.000000	0.000000	0.000000	579.738647	579.738892	0.001080	0.002439	0.002352	0.000059	1385.966797	1534.945068	200.027420	0.724132	0.723625	0.000241
FTIR_034312.LAB	10/1/2024	14:02:15.634	24.863779	24.310968	0.426657	21.023821	32.551331	9.008026	-0.061111	-0.041783	0.109916	4.176445	3.795634	1.040173	0.025245	0.018983	0.007995	0.187188	0.062322	0.065614	-0.168630	-0.096274	0.064269	2351.745257	2246.153076	84.561378	1.102786	1.137991	0.034889	0.915313	0.891999	0.055449	5.217485	5.696428	0.613086	1.969196	1.612202	0.348028	191.016251	190.995529	0.037121	0.996816	0.996816	0.000000	24.863779	24.310968	0.426657	4.176445	3.795634	1.040173	3.769268	3.759836	0.006222	4.245859	4.241678	0.002696	85.790871	86.142502	0.406539	5.084021	4.960772	0.073517	-3.347253	-3.348132	0.001135	0.000000	0.000000	0.000000	579.739929	579.739075	0.001098	0.002321	0.002345	0.000058	1514.812744	1550.810669	190.327469	0.724114	0.723663	0.000286
FTIR_034313.LAB	10/1/2024	14:02:28.565	25.739621	24.437717	0.622963	30.091800	31.249517	8.218671	0.238745	-0.031897	0.130576	3.620768	3.872646	0.989720	0.021558	0.019426	0.008004	0.138414	0.073534	0.068298	-0.000040	-0.089173	0.070942	2348.099544	2268.901855	77.326241	1.098187	1.130993	0.035181	0.744546	0.883076	0.070889	6.291123	5.722743	0.634182	1.369554	1.636271	0.317905	191.016251	191.004425	0.028626	0.996816	0.996816	0.000000	25.739621	24.437717	0.622963	3.620768	3.872646	0.989720	3.771048	3.761897	0.006177	4.246686	4.242564	0.002744	86.590042	86.222420	0.408282	4.869373	4.949693	0.078453	-3.345055	-3.347912	0.001483	0.000000	0.000000	0.000000	579.740295	579.739258	0.001120	0.002438	0.002355	0.000065	1580.285522	1522.578613	156.951187	0.724102	0.723719	0.000313
FTIR_034314.LAB	10/1/2024	14:02:41.294	24.322850	24.413021	0.622039	34.268048	31.060242	8.114127	-0.143451	-0.035030	0.133067	4.431367	4.104186	0.782165	0.016836	0.020304	0.007042	0.049923	0.072597	0.068579	-0.068634	-0.083708	0.070123	2320.225498	2285.909668	66.208366	1.050054	1.119194	0.040723	0.789327	0.870500	0.075579	6.418821	5.817256	0.662726	2.216885	1.706910	0.362241	191.016251	191.013336	0.009216	0.996816	0.996816	0.000000	24.322850	24.413021	0.622039	4.431367	4.104186	0.782165	3.772439	3.763856	0.006094	4.247278	4.243421	0.002745	86.590042	86.234413	0.418008	4.897070	4.946923	0.079906	-3.347253	-3.347912	0.001483	0.000000	0.000000	0.000000	579.739563	579.739136	0.001029	0.002436	0.002355	0.000065	1569.316162	1497.713867	120.394135	0.723605	0.723714	0.000315
FTIR_034315.LAB	10/1/2024	14:02:54.131	26.826593	24.701935	0.957245	22.105777	28.879068	7.148036	-0.002528	-0.022230	0.128953	4.447369	4.120697	0.788062	0.022215	0.020064	0.006919	0.214670	0.093749	0.076894	-0.050201	-0.079580	0.070826	2323.264771	2301.141357	53.031681	1.059548	1.106097	0.036025	0.802574	0.865721	0.078450	6.059044	5.796743	0.650416	2.250989	1.740837	0.397706	191.016251	191.016251	0.000000	0.996816	0.996816	0.000000	26.826593	24.701935	0.957245	4.447369	4.120697	0.788062	3.773767	3.765720	0.005976	4.247918	4.244269	0.002687	85.750908	86.162483	0.434491	4.966311	4.953847	0.078085	-3.345055	-3.347472	0.001622	0.000000	0.000000	0.000000	579.738647	579.739258	0.000986	0.002460	0.002369	0.000072	1462.722534	1483.167236	114.190834	0.724013	0.723799	0.000260
